"TaskID","Name","Description","Completion Status","Due Date","ColumnID"
"f5ad7625-b78c-4685-aa85-6dbaf958a42e","DB 6 Insert 2","sskfssl","false","2023-08-01T00:00","d4183fdf-a407-4526-b1bc-b37a97529108"
"adec68ae-bbb5-4bfa-a637-7646c924f717","NewTask","sds","false","2023-08-02T00:00","1c7b479b-f240-424a-bde2-920cf68b5c1b"
"8c8151d0-769c-4972-bd19-15510cccba73","NewTask in a bit","dssd","false","2023-08-02T00:00","d4183fdf-a407-4526-b1bc-b37a97529108"
"619ddcdd-b805-47fc-acaa-94594ad2a1e9","PALAZZO","by Asake","false","2023-08-02T00:00","1eb3761f-adb4-437f-b4f5-b44db9aef36b"
"435f0b97-2a77-4009-8cc0-26f18e337400","Boys a liar","by Ice Spice","false","2023-08-02T00:00","f1a37076-7df6-42d0-a406-7e7af98185d8"
"ebbd7806-5148-4471-a70f-ad9e1e100f40","Done Task 1","adssds","false","2023-07-31T00:00","1f299ec4-b5ef-482a-afea-cbb4b8f45e4b"
"5c7edaa3-9c53-44f5-9d44-5e7aca6dce72","DB 6 Insert 3","dssd","false","2023-08-02T00:00","1c7b479b-f240-424a-bde2-920cf68b5c1b"
"6122de64-e18c-46f2-b7df-82e668a3432d","DB 6","dwjksd","false","2023-08-02T00:00","1eb3761f-adb4-437f-b4f5-b44db9aef36b"
"aed07e32-4e3c-44b6-9b89-0effebd22206","12","12","false","2023-08-10T00:00","ae94d84e-a09d-411f-9acb-96f333e3ad0f"
"baa60e14-e50f-4098-9397-ca288ec197db","Ron and Alex are Testing","sfsfsa","false","2023-08-01T00:00","c38bd87b-9c60-4aac-85dd-10567c30af94"
"7132fc12-6207-4c80-8090-4aaae619f517","DB Task 1","Testing","false","2022-02-16T10:22","c38bd87b-9c60-4aac-85dd-10567c30af94"
"edf0e1bf-0e97-4a65-8600-570dfde94a7e","Test 4","dsasdsa","false","2023-08-02T00:00","c38bd87b-9c60-4aac-85dd-10567c30af94"
"af30fe69-980a-416e-91fe-25f22f335a3b","Changing Task Deets","Final Testing","false","2023-08-02T00:00","9656b748-30d6-4f88-9d35-d42030eb9a33"
"cb9da097-50e2-4d35-9ff8-799d52ba86c9","Adding Task 2","sddss","false","2023-07-30T00:00","1f299ec4-b5ef-482a-afea-cbb4b8f45e4b"
"2e258cb6-4024-4f71-a8ef-1f48f4738fad","Testing after rollback","sfas","true","2023-08-02T00:00","ede62d97-6dac-4c85-b15b-7ecad62988f9"
"7127445c-b8cd-4a93-8a6f-5d760a251daa","Test Task 3","sfsfs","true","2023-08-01T00:00","559423ef-1954-44aa-8976-8f42d4346f2d"
"904b4db7-050e-4905-8f4f-5e6747888774","TELEKINESIS","By Travis Scott, SZA & Future","true","2023-08-08T00:00","f485c782-728e-4957-89e5-91939082d01c"
